名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
尋竹,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，寻竹，一种神秘的草本植物，生长在幽静的山谷之中。其叶片细长如翠玉，茎干挺拔而坚韧，顶端生有淡紫色的小花，散发出淡淡的清香。背景是云雾缭绕的山峦和清澈的溪流，画面中还点缀着几只飞翔的仙鹤，增添了几分仙气。,,xunzhu（尋竹）,"prompt: Colorful ink style of traditional Chinese aesthetics, Xunzhu, a mysterious herb that grows in a secluded valley. Its leaves are slender like jade, the stems are straight and tough, and the tips are adorned with small lilac flowers, exuding a faint fragrance. The background is cloudy mountains and clear streams, and the picture is also dotted with a few flying cranes, adding a bit of fairy spirit."
芫,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，芫草，细长的茎叶，淡绿色，叶片边缘有细微锯齿，顶部开出白色小花，花朵呈伞状排列，生长在湿润的草地中，周围点缀着几朵野花和蝴蝶，背景是淡淡的山水画，整个画面充满生机与和谐，展现出自然之美。,植物\草名\芫.png,yan（芫）,"prompt: Traditional Chinese aesthetic color ink style, coriander, slender stems and leaves, pale green, the edges of the leaves are slightly serrated, small white flowers bloom on the top, the flowers are arranged in an umbrella shape, growing in the moist grass, dotted with a few wildflowers and butterflies, the background is a faint landscape painting, the whole picture is full of vitality and harmony, showing the beauty of nature."
葯,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，葯草生长在山间幽谷之中，叶片细长而翠绿，花朵小巧呈淡紫色，周围环绕着淡淡的雾气，阳光透过云层洒落，增添几分神秘气息，画面充满古朴与自然之美。,植物\草名\葯.png,yao（葯）,"prompt: Traditional Chinese ink painting style, medicinal herbs grow in the valley of the mountains, the leaves are slender and emerald green, the flowers are small and lilac, surrounded by a faint mist, the sun shines through the clouds, adding a bit of mystery, and the picture is full of simplicity and natural beauty."
䔄草,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其葉胥成,其華黄,其實如莬丘,",prompt: 䔄草，一种神秘的古代草本植物，其叶子呈对生状态，花朵为鲜艳的黄色，果实形状类似小山丘。请以传统中国美学的彩色水墨风格绘制，展现其独特的形态和色彩，背景可加入古典山水元素，营造出一种幽静而古老的氛围。,植物\草名\䔄草.png,yaocao（䔄草）,"prompt: Zhencao, a mysterious ancient herbaceous plant, has opposite leaves, bright yellow flowers, and fruits that resemble small hills. Paint in the style of traditional Chinese aesthetics to show its unique form and color, and add classical landscape elements to create a quiet and ancient atmosphere."
焉酸,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"方莖,黄華,貟葉,三成,",prompt: 方茎黄花圆叶的神秘草焉酸，三成一簇，生长在幽静的山谷之中，周围环绕着轻柔的雾气。画面采用传统中国美学的彩色水墨风格，细腻描绘出焉酸草的独特形态和自然环境，背景以淡雅的山水为衬托，展现出一种宁静而神秘的氛围。,植物\草名\焉酸.png,yansuan（焉酸）,"prompt: The mysterious grass of the square stem yellow flower and round leaves, sour, grows in clusters in a quiet valley, surrounded by a gentle mist. The painting adopts the color ink style of traditional Chinese aesthetics, delicately depicting the unique form and natural environment of Yan Sour Grass, and the background is set off by elegant landscapes, showing a quiet and mysterious atmosphere."
蘡薁,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，蘡薁草，细腻的绿色叶片，藤蔓缠绕，小而密集的紫色果实点缀其间，背景为淡雅的山水，整体画面充满诗意与自然之美。,植物\草名\蘡薁.png,yingyu（蘡薁）,"prompt: Traditional Chinese aesthetic color ink style, grass, delicate green leaves, vines are intertwined, small and dense purple fruits are embellished, the background is elegant landscape, the overall picture is full of poetry and natural beauty."
竹䉋,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，竹䉋，一种古老的草本植物，生长在幽静的山谷之中，叶片细长而翠绿，随风轻摆。画面中，几株竹䉋在山石间生长，背景是淡淡的云雾缭绕的远山，展现出一种宁静而神秘的氛围。色彩以淡雅的绿色为主，辅以墨色勾勒出山石和枝叶的轮廓，整体呈现出一种清新脱俗的美感。,植物\草名\竹䉋.png,zhumei（竹䉋）,"Prompt: Traditional Chinese ink painting style, bamboo stalk, an ancient herbaceous plant that grows in a quiet valley, with slender and emerald green leaves, swaying gently in the wind. In the picture, several bamboo trees grow among the rocks, and the background is the distant mountains shrouded in faint clouds, showing a peaceful and mysterious atmosphere. The color is mainly elegant green, supplemented by ink to outline the outlines of the rocks and branches and leaves, presenting a fresh and refined beauty as a whole."
竹,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨风格，竹子，翠绿的竹叶在微风中轻轻摇曳，竹竿挺拔修长，画面中几根竹子交错生长，形成一片幽静的竹林，背景是淡淡的山雾和远山，整体色调以绿色为主，辅以淡墨勾勒出竹子的轮廓，展现出一种清新脱俗、高雅宁静的意境。,植物\草名\竹.png,zhu（竹）,"prompt: Traditional Chinese ink style, bamboo, emerald green bamboo leaves sway gently in the breeze, bamboo poles are tall and slender, several bamboos grow in a staggered manner in the picture, forming a quiet bamboo forest, the background is faint mountain mist and distant mountains, the overall tone is mainly green, supplemented by light ink to outline the outline of bamboo, showing a fresh and refined, elegant and quiet artistic conception."
𦬸,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 请绘制一种名为“𦬸”的古代草本植物，参考《山海经》中的描述。该植物生长在远古的华夏大地，具有神秘的力量。画面中，这株草本植物呈现出优雅的姿态，叶片细长而柔韧，色泽翠绿，花朵小巧而精致，色彩斑斓。背景采用传统中国美学的彩色水墨风格，展现出一幅充满古韵和神秘气息的画面。,植物\草名\𦬸.png,zhu（𦬸）,
枝,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，枝草生长在山间溪流旁，细长的茎干弯曲向上，叶子呈羽状分裂，颜色为淡绿色，花朵小巧而精致，呈现出淡淡的紫色，远处是连绵起伏的山脉，天空中飘着几朵白云，整体画面宁静而富有诗意。,植物\草名\枝.png,zhi（枝）,
藻,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代神话中的奇异草名藻，生长在清澈的山涧溪流旁，其叶片碧绿透明，仿佛由水珠凝结而成，茎干细长柔韧，随风轻摆。整株植物散发着淡淡的幽光，如同夜空中的星辰落入凡间。背景为一幅传统中国美学的彩色水墨画风格，远处是云雾缭绕的群山，近处则有几只仙鹤悠闲地栖息于溪边，整个画面充满神秘而宁静的气息。,植物\草名\藻.png,zao（藻）,
茈草,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古典中国风彩色水墨画，茈草，一种传说中的神秘草药，生长在幽静的山谷之中，叶片呈心形，边缘有细小锯齿，茎干纤细而坚韧，花朵为淡紫色，花瓣轻盈如云，花蕊金黄，散发出淡淡的幽香，整株植物被晨雾轻轻环绕，透露出一种超凡脱俗的气质。背景是连绵起伏的山峦和清澈的小溪，画面中还点缀着几只翩翩起舞的蝴蝶，整个场景充满了宁静与和谐之美。,植物\草名\茈草.png,cicao（茈草）,
竹箭,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统美学风格，彩色水墨画，竹箭，细长的草本植物，叶片狭长而尖锐，茎干坚韧挺拔，生长在幽静的山谷之中，周围环绕着轻柔的雾气和奇石，画面中融入古代文人雅士对自然景致的赞美之情，整体氛围宁静而富有诗意。,植物\草名\竹箭.png,zhujian（竹箭）,
祝餘,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如韭,青花,",prompt: 《山海经》中的祝餘草，其状如韭，青花绽放，生长在神秘的山谷之中。画面中，一丛丛翠绿的祝餘草随风轻摇，细长的叶片如同韭菜般挺拔，顶端盛开着淡雅的青色花朵。背景是幽静的山谷，远处有淡淡的云雾缭绕，增添几分神秘感。整体风格采用传统中国美学的彩色水墨画法，色彩清新淡雅，线条流畅自然，展现出一种宁静而祥和的氛围。,植物\草名\祝餘.png,zhuyu（祝餘）,
荻,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，一丛荻草在水边轻轻摇曳，背景是淡雅的山水，画面中透露出宁静与和谐，色彩以淡墨为主，点缀些许青绿，展现出一种清新脱俗的美感。,植物\草名\荻.png,di（荻）,
稲,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，稻田中的稲草，金黄色的稻穗随风轻轻摇曳，背景是远山和淡淡的云雾，画面充满诗意与宁静，参考古代插画风格，注重细节和纹理的表现。,植物\草名\稲.png,dao（稲）,
杜衡,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如葵,其臭如蘼蕪,可以走馬,",prompt: 请绘制一幅《山海经》中的杜衡草，其形状类似葵花，但散发出蘼芜的香气。这幅画应采用古代插画风格和传统中国美学的彩色水墨风格，画面中可以有一匹马在草地上奔跑，以表现“可以走马”的特性。背景可以是山川河流，展现出自然和谐之美。,植物\草名\杜衡.png,duheng（杜衡）,
蕃,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 请绘制一种名为蕃的草本植物，根据《山海经》记载，这种植物生长在远古时期的华夏大地。画面中，蕃草呈现出茂盛的姿态，叶片宽大而翠绿，茎干挺拔有力。整个画面采用传统中国美学的彩色水墨风格，背景为朦胧的山水景色，远处有淡淡的云雾缭绕，增添几分神秘与幽静之感。色彩上以淡雅为主，通过细腻的笔触表现出植物的生命力和自然之美。,植物\草名\蕃.png,fan（蕃）,
扶竹,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，扶竹，一种传说中的草本植物，生长在幽静的山谷之中，其茎细长而坚韧，叶片呈深绿色，边缘有锯齿状，花朵小巧玲珑，颜色淡雅，常被古人视为高洁与坚韧的象征，画面中扶竹随风轻轻摇曳，周围点缀着奇石和清澈的小溪，背景是淡淡的山峦轮廓，整体氛围宁静而富有诗意。,植物\草名\扶竹.png,fuzhu（扶竹）,
茇,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如樗,其葉如桐,莢實,",prompt: 一棵古朴的茇草，其形状如同樗树般挺拔，叶片宽大如桐叶，枝头结着荚果，色彩采用传统中国水墨画风格，背景为淡雅的山水景色，展现出一种静谧而神秘的自然之美。,植物\草名\茇.png,ba（茇）,
勾,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代神话中的草名勾，以传统中国美学的彩色水墨风格描绘，细腻的笔触勾勒出其独特的形态，叶片修长而优雅，色彩以淡雅的绿色为主，边缘略带金黄，仿佛在微风中轻轻摇曳。背景是山海经中常见的幽静山谷，远处有淡淡的云雾缭绕，增添几分神秘感。,植物\草名\勾.png,gou（勾）,
藁,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，藁草，生长在田野间，叶片细长而柔软，随风轻摆，呈现出淡绿色的光泽，背景是远山和蓝天，画面充满诗意和宁静感，参考古代插画风格，细节精致，色彩柔和。,植物\草名\藁.png,gao（藁）,
槀茇,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，槀茇草，叶片细长而密集，呈深绿色，茎干挺拔，生长于山间幽谷之中，周围环绕着淡淡的雾气，背景为远山和古木，画面充满神秘与自然之美。,植物\草名\槀茇.png,gaoba（槀茇）,
鬼草,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其葉如葵,赤莖,其秀如禾,",prompt: 一种名为鬼草的神秘植物，其叶子形状如同葵花般宽大而美丽，茎部呈现出鲜艳的红色，花朵则像禾苗一样细长而密集。整体以传统中国美学的彩色水墨风格呈现，背景为淡雅的山水画卷，展现出鬼草在自然环境中的独特韵味。,植物\草名\鬼草.png,guicao（鬼草）,
𦱌草,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"葉狀如葵,赤莖,白華,實如蘡薁,",prompt: 画一株古籍《山海经》中描述的𦱌草，其叶片形似葵叶，茎干呈赤红色，花朵洁白如雪，果实则像成熟的蘡薁般饱满诱人。整幅画面采用中国传统彩色水墨风格绘制，注重线条流畅与色彩层次感，展现出一种古典而神秘的美感。背景可以是淡淡的山水或云雾缭绕的仙境，以此衬托出这株奇草的独特魅力。,植物\草名\𦱌草.png,gangcao（𦱌草）,
蓇蓉,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其葉如蕙,其本如桔梗,黒華,不實,",prompt: 葙蓉，一种神秘的草本植物，其叶子形状类似蕙兰，茎干如同桔梗般挺拔。花朵呈现深邃的黑色，但不开花结果。请以古代插画风格和传统中国美学的彩色水墨风格描绘这株植物，注重表现其独特的叶形、茎干以及黑色花朵的神秘美感。背景可以是幽静的山谷或古朴的园林，增加画面的古典氛围。,植物\草名\蓇蓉.png,gurong（蓇蓉）,
桂竹,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"甚毒傷人必死,",prompt: 桂竹，一种极其毒性的草本植物，生长在幽暗的山谷之中。它的叶片狭长而尖锐，呈深绿色，边缘带有锯齿状。花朵小巧，颜色为紫色，散发出淡淡的荧光。桂竹周围弥漫着一股不祥的气息，仿佛能吞噬一切生命。请以古代插画风格和传统中国美学的彩色水墨风格描绘这种神秘而致命的植物，背景为阴森的山谷，画面中可以加入一些因接触桂竹而倒下的小动物，以突出其毒性之强。,植物\草名\桂竹.png,guizhu（桂竹）,
筀竹,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 筀竹，一种古老的草本植物，生长在神秘的山林之中。请以传统中国美学的彩色水墨风格绘制，展现出其优雅而坚韧的特性。画面中，筀竹高耸入云，翠绿欲滴，枝叶繁茂且姿态挺拔。背景为幽静的山谷，远处有淡淡的云雾缭绕，增添几分神秘感。整幅画作要体现出《山海经》中的奇幻氛围，同时保持自然与和谐之美。,植物\草名\筀竹.png,guizhu（筀竹）,
禾,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，禾草，生长在古朴的田野中，叶片细长而柔软，随风轻轻摇曳，展现出自然和谐之美。画面背景为远山和淡淡的云雾，色彩以淡雅的绿色为主，点缀着一些温暖的黄色，象征着丰收与希望。,植物\草名\禾.png,he（禾）,"prompt: Traditional Chinese ink painting style, grass, grows in a quaint field, the leaves are slender and soft, gently swaying in the wind, showing the beauty of natural harmony. The background of the picture is distant mountains and faint clouds, and the color is mainly light green, dotted with some warm yellows, symbolizing harvest and hope."
㭉,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 《山海经》中的神秘草药“㭉”，请以古代插画风格和传统中国美学的彩色水墨风格绘制。这株草生长在幽静的山谷之中，其叶片细长而柔软，呈现出淡绿色，茎干纤细且带有微微的紫色光泽。顶端开出数朵小巧玲珑的花朵，花瓣为白色，花蕊则为金黄色，散发出淡淡的清香。周围环绕着轻柔的雾气，增添了一丝神秘感。背景是连绵起伏的山脉和清澈的小溪，展现出一幅宁静而祥和的自然景象。,植物\草名\㭉.png,hua（㭉）,"prompt: The mysterious herb ""㭉"" in the ""Classic of Mountains and Seas"" should be drawn in the style of ancient illustration and the color ink style of traditional Chinese aesthetics. This grass grows in a quiet valley, and its leaves are slender and soft, showing a pale green color, and the stems are slender and have a slight purple sheen. Several small and exquisite flowers bloom at the top, the petals are white, and the stamens are golden yellow, exuding a faint fragrance. The surroundings are surrounded by a gentle mist, adding a touch of mystery. The background is rolling mountains and clear streams, showing a serene and peaceful natural scene."
蕙,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨风格，蕙草，细长的叶片轻盈摇曳，翠绿色彩，花朵小巧而精致，呈淡紫色，生长在幽静的山谷之中，背景是淡淡的山峦和云雾，画面充满诗意与宁静。,植物\草名\蕙.png,hui（蕙）,"prompt: Traditional Chinese ink style, Huicao, slender leaves swaying lightly, emerald green, small and delicate flowers, lilac, growing in a quiet valley, with faint mountains and clouds in the background, the picture is full of poetry and tranquility."
䓤,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代草本植物葱，生长于山野之间，叶片细长翠绿，根部白色，整体形态优雅。画面采用传统中国美学的彩色水墨风格，背景为淡雅山水，强调葱的自然生长环境和其在古代文化中的重要地位。,植物\草名\䓤.png,hu（䓤）,"prompt: The ancient herb green onion, growing in the mountains and fields, has slender green leaves, white roots, and elegant overall shape. The painting adopts the color ink style of traditional Chinese aesthetics, with an elegant landscape in the background, emphasizing the natural growth environment of green onions and their important position in ancient culture."
華草,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，華草，古籍《山海经》中的神秘草名，生长于幽静山谷之中，叶片呈心形，边缘有细腻锯齿，花色淡雅，花瓣如丝般柔滑，微风吹过时轻轻摇曳，仿佛在诉说着古老的故事，背景为云雾缭绕的山峦，远处可见若隐若现的仙鹤飞翔，整体画面充满诗意与神秘感。,植物\草名\華草.png,huacao（華草）,"prompt: Traditional Chinese aesthetic color ink style, Hua Cao, the name of the mysterious grass in the ancient book ""Classic of Mountains and Seas"", growing in a quiet valley, the leaves are heart-shaped, the edges are delicately serrated, the flower color is elegant, the petals are silky and smooth, the breeze blows gently and swaying, as if telling an ancient story, the background is the cloudy mountains, and the looming cranes can be seen flying in the distance, and the overall picture is full of poetry and mystery."
